,RP11.798L4.1,RP11.408N14.1,RP11.148B18.4,AC114730.2,LINC00652,RP11.662B19.2,RP11.371A19.2,CTD.2529P6.3,AC003991.3,AC005498.3,RP11.888D10.3,GS1.410F4.4,AC002310.7,RP6.65G23.1,BX936347.1,RP11.145H9.3,RP11.134O21.1,RP11.1079K10.2,LINC00665,RP11.656D10.6,RP11.408A13.3,AC122129.1,RP11.182L21.6,RP11.563P16.1,DCTN1.AS1,ARHGAP5.AS1,RP11.247I13.11,SSTR5.AS1,RP11.45A16.4,CTD.2062F14.3
TCGA.BH.A0E2,-0.601704709,1.348287811,-1.494979156,-0.881040769,-1.980474986,-1.14589498,-0.9377127,0.662613059,0.987468263,0.061467608,-0.333556571,0.397582528,0.084120702,0.133825564,-1.233592082,1.350991663,-1.852342074,-1.764485141,-0.238513004,-0.719002515,0.011652407,-0.415637264,-1.033926025,-0.440619272,-0.041206373,-0.218201183,0.118551008,-0.545520602,1.089166579,-1.410834496
TCGA.BH.A0E9,0.61254729,-0.418397667,-0.667019567,1.694338233,0.002163258,1.02021101,-0.9377127,0.881137538,2.368638939,-0.593840702,1.568785544,-0.966699684,-0.47892879,0.780545398,-0.163653411,-0.989570578,0.514193683,0.259812644,0.100652958,-1.050257715,0.714651893,1.687845935,0.890984969,0.51596269,-0.803653469,0.481354738,-0.561616619,0.406697333,0.907933477,0.625240273
TCGA.BH.A0EI,2.230712919,3.339679867,-1.494979156,-0.912809238,0.324666635,-1.14589498,0.33130513,1.002966158,2.28123414,-0.469224625,1.287802999,0.3494069,-1.512292698,0.572688976,0.447410072,0.035423099,1.424097499,-0.096692255,-1.400651633,-1.004896593,-0.646604374,0.274425093,0.327335282,-1.384246109,0.205915238,0.293607025,-0.886161625,3.049385635,-1.047145051,-0.435441739
TCGA.BH.A0GY,-0.601704709,-0.418397667,-0.101906878,-1.780689793,-0.478908499,-1.14589498,-0.9377127,0.228918954,0.827213866,-1.802703423,-0.499240487,-0.966699684,0.607681114,1.11247305,-0.060944174,-0.989570578,-0.343708192,-1.764485141,1.513388874,0.720710678,-0.537344326,0.183552116,-0.748684789,-0.355806068,0.118024525,0.381073557,-1.407058592,-0.030156684,-0.147457193,1.010164881
TCGA.BH.A0GZ,-0.601704709,-0.418397667,-1.494979156,0.359319329,-0.836441132,0.34806703,-0.9377127,0.218857641,1.153463755,0.424020147,1.038699869,-0.966699684,-0.285656827,0.391798363,1.914807955,0.629719769,0.065845733,-1.764485141,-1.036750757,-1.369807586,-0.543801474,-0.198225846,-0.341706543,0.053859134,1.107217166,-0.848176957,0.150087204,0.175131573,2.225154073,0.99427688
TCGA.BH.A0H3,0.558611484,-0.418397667,-0.132549467,0.258518913,-0.198800145,0.925114756,-0.9377127,1.366359462,-0.656730493,-0.690007813,-0.248334189,0.22215775,-0.524829736,-0.766707972,-1.0526899,-0.989570578,0.509290005,-0.529265154,0.033191645,0.289322311,-0.416128733,1.339730768,0.021875358,-0.224744822,0.82868586,-0.041503748,-0.33014152,-0.545520602,-1.047145051,-0.168428231
TCGA.BH.A0H5,1.243969613,-0.418397667,0.969480062,-0.533658386,1.161086392,1.846420135,1.914415603,0.084647282,-0.572114372,0.146734811,-0.368014275,0.924374191,-0.397493151,0.033867819,-0.30757913,0.055717196,-1.059018893,0.796567942,-0.510260096,-0.099198927,-0.01231637,0.020284222,-0.553899846,-0.076255692,-0.46625689,-0.099836211,-0.072980272,-0.545520602,0.742641935,-0.009322048
TCGA.BH.A0H7,-0.601704709,1.252456545,-0.017813322,-1.780689793,-1.078885796,0.159369337,0.306401358,0.03292919,-0.195489891,-0.361515551,-0.449106703,-0.966699684,-0.001872978,2.256501133,2.313889811,-0.989570578,1.139793014,-0.424574759,-0.17396409,0.076430558,-1.488525341,0.00099273,0.143169116,0.584666137,1.851546123,0.461466897,-1.184650172,-0.545520602,-1.047145051,-1.410834496
TCGA.BH.A0H9,-0.601704709,-0.418397667,-0.17737881,-0.853739866,-1.606062415,-1.14589498,0.971320469,0.147960462,-0.365545387,0.856640226,-0.269237318,-0.966699684,1.057399039,-1.182891695,-0.390147124,-0.989570578,-0.424789775,-1.764485141,1.08879449,-0.305592252,-0.221990692,-0.907770983,0.325490016,-0.411983811,0.012691826,-0.382902922,-1.461539807,-0.545520602,-1.047145051,0.379095698
TCGA.BH.A0HA,-0.601704709,-0.418397667,0.62150896,-0.437713832,-0.127150425,-1.14589498,-0.9377127,1.916848617,-0.063971629,2.328612777,-1.641789505,-0.966699684,1.129264281,-1.182891695,0.774254274,0.136800399,-0.648571451,0.065642869,0.563524748,1.678313538,0.545934912,-1.20920988,0.858477331,0.815461784,-0.631400906,-1.027418512,0.68764443,-0.044238237,1.211749318,-1.410834496
TCGA.BH.A0HI,0.698095493,-0.418397667,0.951279253,1.034092013,-0.711947059,0.201344978,-0.9377127,-1.253179655,0.364935144,0.246918293,0.129543037,0.365072761,-0.406124771,0.540551843,0.496141837,1.697257327,0.186831168,-0.381790212,-0.252635706,0.42717788,-1.488525341,-0.73483371,0.219492504,-0.463105154,1.034314822,-0.406503438,-1.145701167,-0.083925572,-1.047145051,-0.020095307
TCGA.BH.A0HX,-0.601704709,-0.418397667,-0.601820551,-0.895674868,-1.011266303,0.211782544,-0.9377127,0.084573205,2.796734467,-0.424430844,-0.225398665,-0.966699684,0.404322425,-0.375100367,1.64139304,0.80753668,0.20199055,0.796431883,0.059648845,0.759758548,-0.27886098,0.524686005,-0.217681361,0.211779813,0.245291141,1.472514051,-0.420413441,1.223921797,-1.047145051,-0.009399086
TCGA.BH.A0HY,0.745761502,-0.418397667,-0.576185058,-0.498208789,-0.125161944,-1.14589498,-0.9377127,0.685366895,0.422550951,1.175848219,-0.641363737,0.978132104,0.458509917,-0.69958076,-0.111123075,0.525079003,-1.852342074,-0.747205271,0.337727242,0.697479702,-0.244405237,-0.731625423,0.348544595,0.256903449,-0.426587613,-0.969366322,-0.009012327,-0.545520602,0.12962334,1.860976448
TCGA.BH.A0RX,-0.601704709,-0.418397667,0.745226022,0.439089547,0.592958185,-1.14589498,-0.9377127,0.898604441,-0.712909895,0.396067711,-1.586822041,-0.966699684,-1.512292698,-0.427173608,-1.244976548,-0.989570578,0.481213543,-0.173838745,1.777657663,0.208779169,-0.107553678,-1.022135543,-2.223505923,0.944043369,-0.556957945,-0.132556606,-0.639309385,-0.545520602,0.2590663,1.083928955
TCGA.BH.A0W3,-0.601704709,-0.418397667,0.196052933,-0.406507345,-1.264771813,-1.14589498,-0.9377127,0.222215706,0.61406555,-0.188093622,2.094942466,-0.966699684,1.189141855,-0.664724951,-0.054456568,-0.989570578,-1.852342074,-0.229003448,0.295589847,0.053160119,-0.541646335,1.999948403,0.968630123,-0.360457505,0.109323921,-0.239688632,-0.222806029,-0.545520602,0.49035065,0.133580341
TCGA.BH.A0W5,-0.601704709,-0.418397667,0.619868801,0.702842231,0.735950309,0.091172889,2.126429555,1.439558067,-0.637943428,-0.630777091,1.851873088,-0.966699684,1.127217222,-0.070423575,-0.040627169,-0.037193967,1.071570428,0.577053903,-0.272657228,1.770258539,1.594638339,1.223903869,0.28711069,-1.384246109,-0.589650275,0.846297053,-0.992386833,-0.121673034,0.226597267,1.380355065
TCGA.BH.A18F,-0.601704709,-0.418397667,0.10184691,-0.483669612,0.497008422,0.266709188,-0.9377127,0.13869377,-0.542235919,-0.702789138,0.250796558,0.429686532,-1.512292698,0.311511625,-1.402220479,-0.989570578,-0.035406807,0.500493958,-0.017633508,-0.192828746,-1.488525341,0.186532545,-0.779745948,-0.418414042,0.000600719,-0.275231372,0.174979235,-0.545520602,-0.202227167,1.43908052
TCGA.BH.A18H,-0.601704709,1.615269585,1.81494529,1.052668095,-0.715809357,-1.14589498,-0.9377127,0.312197756,-0.256018245,0.613799129,-2.549524727,0.60375306,-1.512292698,-0.240132693,-0.337432793,-0.989570578,-0.924082856,-0.136256597,-1.068712189,0.732631183,-0.483897669,1.553933785,-0.712357303,-1.384246109,0.225797294,-0.75208021,0.789969924,-0.545520602,-0.096903926,-1.410834496
TCGA.BH.A18I,-0.601704709,1.024535854,0.146472488,0.597301432,-0.714116952,0.444130598,0.136692156,1.20534968,-0.172819311,0.469876518,0.699848133,0.605070987,0.082562147,-0.632661406,-0.92232602,-0.121767024,-0.021665694,-0.606352444,-0.658589847,0.602617424,-0.26020855,1.19200838,0.953067945,0.757969834,0.670066291,0.123420478,-0.456405793,-0.545520602,-0.096106481,0.741484214
TCGA.BH.A201,1.9543484,-0.418397667,-0.706600048,0.628908096,1.342290244,0.917859763,2.033802242,1.357283018,0.122755397,-1.018140571,0.136373176,-0.966699684,-0.124791051,-0.032673129,-2.01783912,0.311415337,2.463439408,0.165226604,-0.360540043,0.82267907,0.482905379,0.808065859,0.792640681,0.427174753,0.354032088,0.239585155,0.26666811,-0.545520602,1.163833997,2.717971357
TCGA.BH.A202,-0.601704709,-0.418397667,-0.43690346,-0.499968814,-0.091352747,0.818824527,0.149149221,0.331582312,-0.690820079,0.347681567,0.256179232,1.52782619,-0.191724339,-0.788295381,-0.148873356,1.297651901,-0.912587933,0.803090709,0.450781353,-0.383451645,0.107237238,-0.296070767,-1.328155374,-0.040919263,-0.688917175,-0.231962523,-0.731168332,-0.545520602,-1.047145051,0.028540955
TCGA.BH.A28Q,-0.601704709,-0.418397667,0.368292535,-1.073045339,0.289501041,-1.14589498,0.09700737,-0.183532845,-0.140395532,-0.422205882,-0.366115251,0.10641518,-0.620965318,-0.535303575,-1.234579294,-0.989570578,-0.758919694,2.485964971,0.588207235,0.361737739,0.421896853,0.327714064,-0.991244108,-0.337068676,-0.423940712,0.051730262,0.29731895,0.095651563,0.072170429,-0.288783303
TCGA.EW.A1IY,0.918437168,-0.418397667,1.501479031,1.030772651,-0.143126014,0.429728623,1.837759926,-1.253179655,0.313162041,0.0340836,0.673027506,0.590834359,0.068187661,0.068540145,-1.431564172,-0.989570578,-1.199716553,-1.764485141,-0.408424123,-0.465021937,0.075224608,-0.436064181,0.271448807,-0.620558539,-0.712885252,0.876554936,-0.473633522,-0.545520602,-0.104720704,-1.410834496
TCGA.EW.A1IZ,-0.601704709,1.408171751,-0.172875453,-0.470640824,-0.070992299,-1.14589498,1.398942141,-1.253179655,-0.53444857,-0.306937411,-0.601268043,1.019937835,0.137805045,-0.096231829,-0.153452873,0.108957809,-0.017567501,0.021126651,0.666967829,2.234093872,0.061711903,-1.149754611,-0.792452087,-0.010157624,-1.012809263,-1.054399415,0.739935369,-0.056629358,-0.193671417,-0.365465479
TCGA.EW.A1J6,1.317945446,-0.418397667,-0.186031133,-0.483676552,1.477052592,1.281404419,0.408705187,0.138686261,-1.317469103,1.847986876,-1.315046674,-0.966699684,0.480671308,-0.106802931,0.913599259,0.542242022,-1.02697411,-0.735587071,2.123041608,0.751570595,1.365633126,-0.131435437,0.034080653,-0.418419253,-0.673865045,-1.67854709,1.04382944,0.286127341,0.404690303,-1.410834496
TCGA.EW.A1OZ,-0.601704709,-0.418397667,-0.628676066,1.088274071,2.183217772,-1.14589498,-0.9377127,0.575400706,-1.317469103,0.18206701,-0.292153096,-0.966699684,1.291088017,-0.540684489,0.965799498,0.439158836,-0.155216965,2.921432284,0.227110414,-0.60747682,0.348223289,1.067975507,2.987285842,0.950217518,-0.122890117,1.751142539,0.398154318,-0.094336203,0.062869856,-0.446091932
TCGA.EW.A1P0,-0.601704709,-0.418397667,-0.519042991,2.242240049,-0.849800855,0.33761152,-0.9377127,-1.253179655,-0.047036175,-1.088174205,-0.526481864,0.499774842,-0.294241452,-0.669522463,0.359695813,-0.989570578,-0.364081751,-0.243096295,0.562284854,-0.786308937,-1.488525341,-0.163188944,-0.04177314,0.043881953,2.075227212,1.532265618,0.297528625,0.170131886,-1.047145051,-0.324001067
TCGA.EW.A1P3,-0.601704709,-0.418397667,0.285196853,0.475117099,0.743736683,0.431909349,-0.9377127,-1.253179655,-0.452414814,1.103065581,-0.402481033,1.228069464,0.709518199,-1.182891695,0.972658394,-0.989570578,-0.555063501,-0.147306529,0.31625718,-1.190786374,0.699807037,-0.30538291,-0.806068117,-1.384246109,1.259871468,0.842568386,-0.10981616,-0.545520602,0.571400794,1.124419565
TCGA.EW.A1P4,-0.601704709,-0.418397667,-1.494979156,1.15463337,0.812348416,-1.14589498,2.019054399,0.135214051,0.436983105,0.251810806,0.123487608,-0.966699684,2.184950871,-0.496053263,-1.411792622,0.874535154,0.27643729,-0.318817642,-1.068286062,0.527407232,-0.597482244,-0.850340557,1.083874016,-0.420828647,1.252641133,-0.866517475,-0.347512792,-0.545520602,0.40112439,0.861796466
TCGA.EW.A1PA,-0.601704709,-0.418397667,0.127072311,2.522491198,-0.911539181,1.319762079,0.430324751,0.738559528,1.018179664,-0.292780198,0.723994599,0.452100789,-1.512292698,-0.483382238,0.065178336,0.56664014,0.824244165,-0.292147484,1.087825546,-2.968746653,-0.580910501,0.524143488,0.104727951,-0.00216241,0.506296935,0.916419619,0.633053409,2.838560745,-0.188664869,0.3955334
TCGA.EW.A1PC,-0.601704709,-0.418397667,0.091959964,1.589860025,3.42953793,1.266388306,-0.9377127,1.123702047,-0.210492181,-0.886711027,1.898237999,0.109861211,1.843306091,2.45409044,0.300438501,0.867564538,-0.954594173,-0.397096291,-0.370099169,0.237136263,0.743708076,-0.735376411,-0.272808201,-1.384246109,-0.047065838,0.399205055,-0.063782754,-0.545520602,0.395708748,1.487880668
TCGA.EW.A2FR,-0.601704709,2.249448525,-0.69873368,-0.036844538,-0.365470521,0.064466293,-0.9377127,0.800345158,-0.010006974,-0.047397318,0.78283961,0.229765565,-0.111027176,0.97908608,-0.237417774,1.593907173,1.221023892,-0.24647418,-3.260880142,0.565708123,-1.488525341,0.497945264,0.106451973,2.433532527,-1.143222883,1.54569695,-1.601878363,-0.545520602,-0.026350486,-0.160524037
TCGA.EW.A2FS,-0.601704709,1.217253138,0.360534213,-1.780689793,-0.340079689,0.131868582,0.778995871,0.913273843,1.04704262,-0.560922495,-0.491736658,1.206777981,-0.033487562,-0.559623126,1.662794261,-0.989570578,0.085583897,0.651320144,0.450639807,1.137842385,1.417517122,-0.718244901,-0.149127409,-0.510607867,0.125308368,-0.087508917,2.713334595,-0.545520602,1.512138452,-0.474730641
TCGA.EW.A3E8,2.268684747,-0.418397667,0.592223953,0.520383701,1.044355205,0.821668493,1.471008979,1.236847875,-0.158294738,0.929783339,0.017548272,1.531401119,0.562625578,-0.625505013,1.773372547,0.525189832,-1.185110118,0.925734412,-0.144123857,0.062277292,2.157259913,-0.030538114,1.17218383,-1.384246109,-0.350219772,-0.147552657,2.0372645,-0.154262324,0.129709446,0.768795195
TCGA.OL.A5D6,0.925402562,-0.418397667,2.181414803,-0.748898482,0.076375046,1.081385975,-0.9377127,0.306434469,0.927468443,0.995447705,-0.395876502,-0.966699684,-0.212679818,0.316046589,0.92239194,0.725137516,-0.550961045,1.199869511,0.752214103,-0.54147249,-0.080078899,0.032888043,1.597158766,0.47172147,-0.91889886,-0.94610661,0.294166184,-0.545520602,-1.047145051,2.262750863
TCGA.OL.A5D7,-0.601704709,-0.418397667,-1.494979156,0.451799777,1.522870087,0.414989594,0.550046076,0.28479808,-0.461602352,-0.486869124,-1.186638828,-0.966699684,1.299683104,-1.182891695,-1.22206681,2.102452118,0.148740178,0.730050333,1.000158173,1.018134455,0.677187171,-1.114743214,-0.153205679,-1.384246109,-0.549221673,0.262411898,1.368753172,-0.545520602,-1.047145051,-0.267313026
TCGA.OL.A5D8,2.38555763,-0.418397667,0.094890687,1.149354982,1.784199005,0.260459295,1.365803895,0.698737534,-0.769527439,1.372134554,-1.676980062,0.423508393,-0.357588235,-0.696221085,0.652703462,1.394158602,-0.694867134,1.509483405,0.103089141,1.210103355,0.961067569,-0.014903812,0.275362094,-0.029795209,-0.679118835,-0.68915916,1.029962261,0.99453521,1.128023203,0.857542597
TCGA.OL.A5DA,-0.601704709,-0.418397667,0.534341707,-0.494288065,0.557108265,1.261696026,-0.9377127,2.549748117,0.499001024,1.186798043,-0.635658001,-0.966699684,-1.512292698,-0.349741894,-0.989415127,-0.989570578,0.764577259,-1.764485141,0.85966161,1.279032482,2.989446057,-0.663480625,-0.515369624,-1.384246109,0.935602673,-1.114305397,1.486315962,-0.065523728,1.945009689,0.849081501
TCGA.OL.A5RU,-0.601704709,-0.418397667,-0.557071362,-0.851333695,-0.191301821,-1.14589498,0.976236233,-1.253179655,1.405568965,-0.144649025,0.390314202,1.01826911,-1.512292698,0.09211716,0.052168678,-0.989570578,-0.019073759,0.520854625,-0.277445796,-1.516580585,-0.218729363,0.595561057,-1.203334745,-0.011311823,0.751181768,-0.188652129,-1.072967823,-0.057043336,-1.047145051,-0.366350665
TCGA.OL.A5RW,0.907752736,2.400084946,-1.494979156,-0.760823602,1.388823541,-1.14589498,-0.9377127,-1.253179655,-0.707891761,-0.075497936,0.881658827,1.686204001,0.691204589,6.113608872,-0.030314348,2.667137984,2.682364425,0.73569589,-0.424753047,0.095233253,2.008641525,-1.829841433,-1.430621771,-0.314525493,-0.929916266,2.438851279,1.262591199,0.208861606,-0.111344604,0.202219116
TCGA.OL.A5RZ,-0.601704709,-0.418397667,2.433684984,0.060036618,0.185602856,-1.14589498,0.632991167,0.370542963,-1.317469103,0.063224365,-1.11144025,-0.966699684,1.450384014,-1.182891695,0.354231821,1.788372556,-1.852342074,0.292302667,0.764082421,0.325103388,0.297142226,-0.647222854,3.086277624,-1.384246109,-1.872152469,-0.327016809,1.555389913,-0.545520602,2.41815713,-1.410834496
TCGA.OL.A66I,-0.601704709,-0.418397667,-1.494979156,1.258406296,1.009114056,-1.14589498,0.397608997,0.127215521,-0.548579207,0.102479034,0.925355821,-0.966699684,0.464498157,-0.698089524,0.091603648,0.52971621,3.724096984,-0.01085166,0.849249567,1.990348931,-1.488525341,-1.481866838,-1.269624883,0.261890045,-0.014385671,-0.554146796,0.912635665,0.51138648,-1.047145051,-1.410834496
TCGA.OL.A66J,0.785383829,-0.418397667,0.585967462,0.281283081,-0.431956599,-1.14589498,0.992233629,0.163435219,-1.317469103,1.368390966,-0.58696939,0.454508199,0.515545449,-0.685368972,-0.363498583,-0.989570578,0.712875561,-0.289669579,-0.576801555,0.62130099,1.41283484,-0.615022141,0.681053729,-1.384246109,0.032867531,-0.05480589,1.099474089,0.300680041,-1.047145051,-1.410834496
TCGA.OL.A66K,2.341138024,-0.418397667,-0.58396749,2.598501319,-0.146397515,0.804986829,-0.9377127,1.752306061,0.47958903,0.070708638,0.199377193,-0.966699684,0.9921524,-1.182891695,0.61486431,0.076552082,-0.712458679,0.457236374,0.277005876,-0.015778076,0.777407512,0.139075854,1.000673937,-0.437413696,-0.697250809,-1.599257382,0.533411797,2.149637931,1.096119211,0.018403303
TCGA.OL.A66N,0.776369225,-0.418397667,0.119388867,-1.780689793,1.991451817,-1.14589498,1.401298603,-1.253179655,-0.760949508,1.746565433,2.642566431,0.445271856,-0.33951154,0.177536662,1.937579533,-0.989570578,0.304304312,-0.299176932,-0.835939719,-0.14679434,0.499169781,-1.242929494,-0.387119605,-0.008760954,0.020866635,0.291063774,1.078803377,5.961438224,0.156140745,0.062998601
TCGA.OL.A6VR,1.979095873,-0.418397667,-0.69879215,-0.422241423,1.241571312,-1.14589498,0.688863281,0.800196101,0.266714288,0.527115434,-0.127912984,-0.966699684,-0.111129475,-0.592346683,-0.031371861,-0.989570578,-0.634702825,0.183909897,0.266402046,-0.241101481,1.765070704,-1.095167031,0.568418696,-0.556753232,1.081746405,2.203730224,0.677055,-0.130853772,3.029486804,0.895009776
