,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils
TCGA-BH-A0E2,-0.763569229,-0.105999788,0.891866126,-0.931369882,-0.105999788,-0.617224248,-0.327794111,1.497771776,-0.095568733,-0.105999788,-1.015865763,1.006744039,-0.74458911,1.119076121,0.095105352,-0.594072721,-0.360190077,-0.334634406,0.219674831,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A0E9,1.382247369,-0.105999788,-0.224955518,0.657813422,-0.105999788,1.342830016,-0.327794111,-0.905687528,-0.920546749,-0.105999788,-0.180748091,-0.762878071,0.173304325,-1.100099939,-0.978689526,0.302449864,1.174257493,-0.034851959,-0.18536536,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A0EI,-0.591496591,-0.105999788,-0.875124035,-0.931369882,-0.105999788,-0.442178971,-0.327794111,0.427022405,-0.060258192,-0.105999788,-0.531997947,0.933610672,-0.427650506,-0.047718972,-1.595185123,1.762712513,-0.360190077,-0.042941231,1.060383737,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A0GY,-0.646380488,-0.105999788,-0.915302108,-0.931369882,-0.105999788,-0.410428321,-0.327794111,-0.204168972,-0.920546749,-0.105999788,0.367505391,-0.762878071,-0.74458911,2.047375772,0.13495554,-0.513606301,-0.360190077,-0.334634406,0.299297617,-0.105999788,-0.144245194,1.165960419
TCGA-BH-A0GZ,1.015566686,-0.105999788,0.490861033,-0.024863265,-0.105999788,-0.97782194,-0.327794111,-0.197669488,0.855866945,-0.105999788,-0.639986777,0.305331335,-0.209669009,-0.617436171,-0.880133163,1.222145777,0.135694933,-0.32826663,0.433963443,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A0H3,0.501750754,-0.105999788,-0.503336551,0.026791722,-0.105999788,1.008806821,-0.327794111,-0.905687528,-0.920546749,-0.105999788,-0.564486693,-0.545141366,-0.552980773,-0.333956644,0.086687162,0.753975666,0.654550779,-0.334634406,-0.494556767,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A0H5,-0.333681141,-0.105999788,-0.295001149,1.114240899,-0.105999788,2.385056506,0.545610768,-0.905687528,-0.83547832,-0.105999788,1.852508287,-0.762878071,0.692036171,-0.46538691,0.733339724,-1.491039394,-0.360190077,-0.334634406,-0.802366299,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A0H7,0.204687883,-0.105999788,-0.75676824,-0.466569459,-0.105999788,-0.70858406,-0.327794111,-0.250940109,0.007375049,-0.105999788,-0.420600581,-0.762878071,-0.74458911,1.203303962,0.111387451,0.217065583,-0.360190077,-0.334634406,0.208646567,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A0H9,0.430423349,-0.105999788,0.270473567,-0.648874381,-0.105999788,0.499545269,-0.327794111,-0.905687528,-0.920546749,-0.105999788,-0.244604686,-0.725972471,-0.296352019,0.252295654,-0.639682235,0.872387889,-0.360190077,-0.334634406,-0.462698114,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A0HA,0.190253437,-0.105999788,0.396273525,0.446342214,-0.105999788,0.228672461,-0.327794111,-0.905687528,0.49775394,-0.105999788,-1.015865763,0.941522064,0.313823823,-0.670860868,1.78045871,-1.134858374,-0.125403851,-0.334634406,1.327218897,-0.105999788,0.069122681,-0.222702364
TCGA-BH-A0HI,0.577187369,-0.105999788,-0.522684615,-0.931369882,-0.105999788,-0.785099306,-0.327794111,1.278038187,0.423998669,-0.105999788,-1.015865763,0.613704873,-0.74458911,0.964981936,-0.341967564,0.779973878,-0.360190077,-0.334634406,-0.865614693,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A0HX,0.930226734,-0.105999788,-0.780306586,-0.931369882,-0.105999788,0.549501603,-0.327794111,-0.905687528,-0.349394524,-0.105999788,0.095122816,-0.762878071,-0.718483532,1.261024475,-0.39209727,-0.215242462,-0.360190077,-0.334634406,-0.565788786,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A0HY,0.747932203,-0.105999788,-0.207334161,-0.931369882,-0.105999788,0.122644484,-0.327794111,0.74632347,-0.52054926,-0.105999788,0.178874416,-0.595720552,-0.740859742,-0.259967241,1.060589704,0.600660455,-0.360190077,-0.334634406,-0.122870679,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A0RX,0.200582231,-0.105999788,-0.323404099,0.964285664,-0.105999788,-0.24956387,6.373092539,-0.365257535,-0.219292353,-0.105999788,-0.03152742,0.717975249,-0.158617203,-0.051244164,1.230021827,-1.068474876,-0.360190077,0.105292875,-0.211487706,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A0W3,-0.646800499,-0.105999788,0.32179575,-0.931369882,-0.105999788,-0.953911381,-0.327794111,-0.447238594,-0.600327839,-0.105999788,-0.49319992,-0.208393634,6.696194382,-1.100099939,-0.717913194,2.177670183,-0.360190077,-0.334634406,-0.161348798,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A0W5,2.875464408,9.327981344,-0.727141605,0.235126468,-0.105999788,1.299361702,0.527868316,-0.731618139,-0.920546749,-0.105999788,-0.026358877,-0.762878071,-0.413536414,-0.066496024,-1.013826575,-0.928051164,-0.360190077,-0.243729318,-0.698942539,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A18F,1.151847017,-0.105999788,0.11587912,0.362284983,-0.105999788,0.669114554,0.793730987,-0.859242225,-0.092309416,-0.105999788,-0.151460744,-0.762878071,-0.513802715,-0.348547218,0.348806857,-0.51892865,0.604158334,-0.334634406,-0.102297961,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A18H,0.643511028,-0.105999788,-0.176591446,1.608266847,-0.105999788,0.89248869,1.235631271,-0.905687528,-0.448643002,-0.105999788,1.446118144,-0.762878071,-0.500865686,0.258112955,0.317744062,-1.474465369,-0.360190077,-0.334634406,-0.681101796,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A18I,-1.047245675,-0.105999788,-0.915302108,0.219441266,-0.105999788,0.90769222,-0.327794111,-0.905687528,-0.426128238,-0.105999788,-0.937281176,1.008761853,0.367305574,-0.17478984,1.304711092,-0.857794226,-0.061897906,-0.334634406,1.592045125,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A201,-1.785231314,-0.105999788,-0.746682166,-0.167495419,-0.105999788,0.981132022,-0.327794111,2.244542999,-0.854680284,-0.105999788,0.54254684,0.542667866,-0.74458911,2.059962778,-1.53199101,-1.8987473,-0.34828484,-0.1059923,-0.200808241,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A202,-0.626581697,-0.105999788,-0.915302108,-0.633011397,-0.105999788,-0.117456418,-0.327794111,2.224122342,-0.56238567,-0.105999788,-0.791710351,0.740367968,-0.729671637,0.111846013,0.70148822,0.775742355,-0.360190077,-0.334634406,0.002770654,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A28Q,-0.040759372,-0.105999788,-0.49710381,-0.62733551,-0.105999788,2.061786728,-0.327794111,-0.905687528,-0.920546749,-0.105999788,0.124847991,-0.762878071,1.534670731,-1.100099939,-0.147493149,0.713067302,-0.360190077,0.488181731,-0.481933702,-0.105999788,-0.144245194,-0.222702364
TCGA-EW-A1IY,0.132567063,-0.105999788,-0.84931154,-0.631422778,-0.105999788,2.906164119,1.298143138,0.050321463,-0.920546749,-0.105999788,-1.015865763,-0.762878071,-0.74458911,-1.100099939,2.089166523,-0.910953397,1.834961852,0.117211504,-0.485181566,-0.105999788,-0.144245194,-0.222702364
TCGA-EW-A1IZ,0.78383736,-0.105999788,-0.018807069,4.540630111,-0.105999788,-0.561636341,0.028274778,1.170298387,0.917909435,-0.105999788,-1.015865763,0.764893031,-0.451061391,-0.949349647,0.927751791,-0.904162259,-0.360190077,-0.334634406,-0.813188114,-0.105999788,-0.144245194,-0.222702364
TCGA-EW-A1J6,2.930338727,-0.105999788,-0.322845035,-0.931369882,-0.105999788,-0.066461784,0.112394539,1.6047241,-0.272545081,9.327981344,-0.998385867,0.598593875,-0.072178056,-1.022730513,1.258847367,0.011259068,-0.360190077,0.254515609,-0.405336877,-0.105999788,-0.144245194,-0.222702364
TCGA-EW-A1OZ,-0.550274459,-0.105999788,-0.915302108,-0.423954122,-0.105999788,-0.594510157,0.168463823,-0.747409177,0.451901668,-0.105999788,0.652562902,-0.762878071,-0.663242452,0.860895202,-0.501424684,1.180800133,-0.360190077,-0.334634406,-0.216449395,-0.105999788,-0.144245194,-0.222702364
TCGA-EW-A1P0,-0.031937738,-0.105999788,0.00377884,-0.256049641,-0.105999788,0.401119247,-0.09665214,0.410277438,0.128045337,-0.105999788,0.130138674,-0.762878071,-0.566502716,0.376710185,0.000630076,0.028551723,0.123238047,-0.334634406,-0.806919468,-0.105999788,-0.144245194,-0.222702364
TCGA-EW-A1P3,0.51001344,-0.105999788,0.334064683,-0.371494553,-0.105999788,0.024833563,-0.327794111,0.409751444,-0.817738425,-0.105999788,-0.831128783,-0.686831314,-0.555101403,-1.100099939,1.093086768,1.488443868,-0.135437346,-0.334634406,0.163307663,-0.105999788,-0.144245194,-0.222702364
TCGA-EW-A1P4,-1.058861161,-0.105999788,-0.915302108,1.073421539,-0.105999788,0.261868875,4.693257043,0.198024806,-0.920546749,-0.105999788,2.201416274,2.955625507,0.327948171,-0.550182128,0.413052316,-1.134777265,1.157736556,0.048703092,-0.084215098,-0.105999788,-0.144245194,3.087835427
TCGA-EW-A1PA,-0.018932863,-0.105999788,1.395615149,-0.602840976,-0.105999788,0.22116652,-0.327794111,0.403112182,-0.920546749,-0.105999788,0.283035455,-0.762878071,-0.74458911,-0.106479051,0.773950784,-0.585754541,-0.360190077,-0.334634406,0.757112384,-0.105999788,-0.144245194,-0.222702364
TCGA-EW-A1PC,-0.296313305,-0.105999788,-0.915302108,-0.288606228,-0.105999788,-1.276646199,-0.327794111,3.615963527,0.072955529,-0.105999788,-1.015865763,1.503228496,-0.598382847,-1.008449469,-1.521405358,0.925547093,-0.360190077,7.207813549,-0.620828877,-0.105999788,-0.144245194,6.761959358
TCGA-EW-A2FR,-0.45331054,-0.105999788,0.111770084,-0.931369882,-0.105999788,-1.122694528,-0.327794111,0.177058132,0.244326207,-0.105999788,-1.015865763,0.437595162,-0.74458911,1.718632877,-0.216435529,0.035567489,-0.360190077,-0.334634406,-0.011489874,-0.105999788,-0.144245194,-0.222702364
TCGA-EW-A2FS,1.132065068,-0.105999788,3.749453277,-0.931369882,-0.105999788,0.132002693,-0.327794111,0.470458485,-0.669966998,-0.105999788,-1.015865763,2.160000679,1.065392284,-0.279198509,0.269544759,-1.609057313,0.422860827,-0.334634406,-0.901098339,-0.105999788,2.312666377,-0.222702364
TCGA-EW-A3E8,-0.867920458,-0.105999788,-0.378278962,0.767686168,-0.105999788,0.988626434,-0.327794111,-0.905687528,0.089508896,-0.105999788,0.056738625,0.282156402,1.25531532,-0.351041638,1.382723815,-1.594349464,-0.032823691,-0.334634406,1.130133405,-0.105999788,-0.144245194,-0.222702364
TCGA-OL-A5D6,0.199819609,-0.105999788,0.141466962,-0.713477526,-0.105999788,0.150307361,-0.327794111,-0.905687528,-0.920546749,-0.105999788,0.305033336,-0.762878071,0.425084004,-1.010611571,-0.170693897,2.043231183,0.809983643,-0.334634406,-0.17810226,-0.105999788,-0.144245194,-0.222702364
TCGA-OL-A5D7,-0.035913101,-0.105999788,-0.513948593,2.224904802,-0.105999788,-0.349401574,3.066054014,1.183363867,1.71272261,-0.105999788,2.00099725,-0.762878071,0.137184461,-0.668174986,0.993338274,-0.838169276,-0.360190077,-0.086945838,-1.068406143,-0.105999788,-0.144245194,-0.222702364
TCGA-OL-A5D8,-1.312045743,-0.105999788,-0.523321705,0.154174768,-0.105999788,-0.620399694,-0.327794111,2.510241724,1.36709456,-0.105999788,0.819776678,-0.034361771,-0.361260703,0.192934587,0.068097588,0.479384955,-0.360190077,-0.334634406,-0.588715197,-0.105999788,-0.144245194,-0.222702364
TCGA-OL-A5DA,0.31783368,-0.105999788,0.579845319,1.029696597,-0.105999788,0.031477996,-0.327794111,0.956572623,1.681302841,-0.105999788,-0.265787129,-0.762878071,-0.204612731,-0.924955421,0.472252711,-0.238449752,-0.360190077,-0.334634406,0.025260872,-0.105999788,-0.144245194,-0.222702364
TCGA-OL-A5RU,1.069623128,-0.105999788,-0.121157882,-0.112442035,-0.105999788,0.616511991,-0.327794111,-0.905687528,3.220423635,-0.105999788,3.480792972,-0.762878071,1.228335504,-0.407024084,0.773025811,-1.579839229,-0.08061266,-0.334634406,-1.068406143,-0.105999788,0.934504984,-0.222702364
TCGA-OL-A5RW,-0.506908869,-0.105999788,-0.300589336,-0.564201026,-0.105999788,-1.421035422,-0.327794111,1.478439148,0.192677161,-0.105999788,-1.015865763,0.695234202,-0.432412611,0.087417481,-0.242428106,1.055243533,-0.360190077,3.651128918,-0.600862229,-0.105999788,-0.144245194,-0.222702364
TCGA-OL-A5RZ,-0.678838725,-0.105999788,-0.491139438,-0.401170245,-0.105999788,-0.291135438,-0.327794111,1.657677488,1.097659769,-0.105999788,2.738602491,-0.762878071,1.893083229,1.182898288,-1.252028175,-1.258647409,-0.360190077,-0.334634406,-0.62690895,-0.105999788,-0.144245194,-0.222702364
TCGA-OL-A66I,-1.987223683,-0.105999788,-0.633610364,3.122630936,-0.105999788,0.727038348,-0.089013315,-0.826113437,2.001080653,-0.105999788,-0.914779962,0.556331365,-0.14727653,-0.31775092,1.399406597,-1.354498417,1.361776319,-0.288498695,-0.40698529,-0.105999788,-0.144245194,-0.222702364
TCGA-OL-A66J,-0.182923054,-0.105999788,-0.376977422,0.140774736,-0.105999788,-1.684880593,-0.327794111,0.249785559,-0.475945464,-0.105999788,0.1400125,-0.129527782,-0.74458911,1.30888138,-0.662450102,1.111312487,-0.360190077,-0.334634406,-0.384686498,-0.105999788,-0.144245194,-0.222702364
TCGA-OL-A66K,1.593203342,-0.105999788,0.437877097,-0.133643891,-0.105999788,-1.464019169,-0.327794111,1.358015315,-0.823774824,-0.105999788,-1.015865763,0.907955068,-0.374756429,-0.34200557,-1.586479382,1.301344464,-0.360190077,0.796459809,0.303891316,-0.105999788,-0.144245194,-0.222702364
TCGA-OL-A66N,0.284881665,-0.105999788,1.355911013,1.425611319,-0.105999788,-0.708956981,-0.327794111,-0.170749276,-0.920546749,-0.105999788,-1.015865763,0.981726225,-0.031536967,-1.100099939,-1.590139048,0.801937724,-0.291578413,-0.182776718,1.517769991,-0.105999788,-0.144245194,-0.222702364
TCGA-OL-A6VR,2.149720449,-0.105999788,2.9068236,-0.931369882,9.327981344,-1.784596682,-0.327794111,0.587430501,-0.352039729,-0.105999788,-0.281683172,-0.371150775,-0.458924876,0.787142464,-1.309316141,-0.217169432,-0.360190077,-0.334634406,-0.328130085,-0.105999788,-0.144245194,-0.222702364
